brand,hash,idx
new balance 57/40,"{'6169e5863380def4502b7b47a1ffbdda', 'cf0c08a1dacf5bb8669cf32a37949df6', '675a403f48eeb7537467eff2ce9cfaf2', '7da21c9d307fd0266bd08bb4cc76b9cc', '5827411f7f28f2a1725a6300dd1ce1d3', '1cedbbd60ff540c79cc3d63e3fc2790e', '47865776ff65d20dae013da8bcaeff5d', 'b43ee0d73a0af3462cb91814fb314fa2', 'af960f3b9a3395333b9190bfeeed79bb', '6b0e03481bdbc6fa8091d46b4a681e73', 'ccbc2d42beb40c4e57ff09245fd85872', '185d27f3c6a1fc21f673eb5df42c4f35', 'dabbe256ea8ba6ee0dbce3e3635b769f', '26fdefed7daf3416ba20c67c29aeb939', 'bf763ea8d247215a5ed4c687fe04b14b', '4db30bbc1e5fd35b47a73d57c924d7be', '48aba2dd4672583a778ab2f95ed490fb', '8bb27066e716d84abed55e10687f5d39', '361f1f515de6d83c752bac2e39a7523b', 'f852381c93de5fcc33b42253eec99255', '75616f5675d15eabd3b1806df08f6bbe', '640f771f9e6db5e4ae36112c40c10294', '8a07f58e6960171143d8eef75262c311', '253b11323b5026851e3a63dce5bbf314', '17a017b027eef20b7ef7c0b8ecb4b373', '5103c7e1a1d505ca71f51b3077e00dec', '5cea929cb92666d7d6475c3040f2bf25', '4e76c640fd8c1dca51aae77325a3efc5', 'eb307001004fc87d0045dd8292011b96', '44668fc771c3c8fc5947e0b5f9d9adb4', '54ec2b40637c260f106f38eca53eab4b', '5feee426c948c21d10025d44aac04e6e', 'e10a268ee6ff7e651a0f0c15ed32be3a', 'da0f960672a829bff62cf97429c0a563', '9448fcbea22429828c755bbcefead217', 'f756c752993cae2663424b7dedfabf94'}",0
new balance 247,"{'2e2bf07fdbcb51cf1a2b0e4584063942', '9c1d15d2794688516899c6a5c0e8241b', '31bc89dc73707bfdbe4524960511c7ea', '00216c4b89391b9211379ce8cbb9430a', 'ba475d31d32d9be36d4904f5638f0864', 'c64065675e71a9e59d9ac3094c177bdc', 'd25f245db4299011b7b1061a290fbf14', '4ec1f7201d0cb533b545ea0bce873ea8', 'd7e09e223a41c0bedf24be8386a69f3a', '01761401c310282beb696e744bd2aa52', '404b366f186146b86e51ad11a8379bbe', 'b43ee0d73a0af3462cb91814fb314fa2', 'cbcccbf9bf67ebaba7179449a6e88180', '9b66aa9af5806cad411eab298001f89f', 'ab4041f08c7cd344a38d4ff679f18c5d', '8b0b3cc3bcaba17e75bf63037dc95563', '185d27f3c6a1fc21f673eb5df42c4f35', '04c689a1cefcbab8bf3133d74f9c7e20', '7641b13be3ce73f7b49fe2c0e832c27d', 'a83fea176e73deb1bd1b2d37615bb1f9', '560370948bf3d86c455b7d50d6c280cb', '9f782ccc3508977aaa63c29cb33c37f7', 'b167cc9f34008d7582c1204fe8733b6d', '60f469bdca741e7b3e7fd17668336ef8', 'a1aea846c1663715b8922a565cb6a3d4', '80efc378f44034d2b04fbd8c9020c7f6', 'e643cdc7baf6aaf07e2c3db6173e250e', 'ad1825590f3340bb7d35fcc2bd43d9e0', '45d19c81300c60afb2245865059d4e18', '0267944bd1285596254d2a4cf0d086a7', 'bc8030620ac6f548429e7fd643a2d2f4', 'ac36be40fea911a8b1c9b2612913fef4', '71b869e6ebfff0468ff300c728cb3068', '64ae6cb10f2e786f9de8e6d16ca1361d', '44668fc771c3c8fc5947e0b5f9d9adb4', '30c1579709782b7e80e90c91e00f3a3b', 'bff5bc2ed6aa830d983366ed3b2aceb1', '75baa701cef799e69a649e627ab76943', 'da0f960672a829bff62cf97429c0a563', '5cea929cb92666d7d6475c3040f2bf25', '8974008bcd5b05b2c1eec46ae1fd234e'}",1
new balance 574,"{'775cbd2f3e61ef415598aad0c5d5e933', '0a3c0b765926dc03005be00b9a21c238', 'e07e3335f0cd6ec7c0dd27d190b3a0af', 'c64065675e71a9e59d9ac3094c177bdc', '675a403f48eeb7537467eff2ce9cfaf2', '750449672dee6a53d486acec83074851', 'b5f01e3732919dc6bf5bb13dd1b89bca', '2b6401e950358200df77449ab2abefbf', 'd365f0d06ec9b91a77cf2e5d3cf62c43', '287ebf7167f19ec5a6a0b073e4b5d50f', 'be55553cfcb9590febe87a3bffed3f49', 'd4030a1814011000e0664d38f791263d', '5090a93e3c283dad9a691ec146832a2b', '4f33ea726c5614842a4a1193f7dde67a', '52712aaf075abc8365a49ff283c87531', '620c9b7c21c5b27c8663d2c8fa043e4c', '37f6315da9ce858d174778d6f4e332c7', 'e9981d5f7173343df29440ff9affd53f', 'a5751b83fb12539c5bd2f5d10a05a9fa', '5e10eae9d6c567d27ba59e1eed5d4ae3', '1df8318ff1505538838e64c25d62f5d6', '7f86a54e19b09a72679d5acd665984bc', '4dca9dab7708ede57dc3b4353b5bb5db', '19d040ce714178f84896c5a9cff8bb07', '1fb30bdb6b096c65ca40c823eb22134f', 'e05d9866df99b5d8f21ca2f5fec2100e', '0f69a61e2e12e9fa0d91aa04d2669bf5', '33b694b5b96b30f2e725331ff3821fc9', 'd69d61722d3f938e2308ba758037fbd7', 'c16495cbc57c1b29a4dd1e4024a68637', 'f2a2590236afbcbc0d81da3ef03d6892', '2759fa6ecb4fe4e5f77b27588153b0b8', 'a62a37dd23db53e70a22cdfbfc129193', 'b34b175fd6a483899dc4ce9f761fca27', '0477913c05572aced53637126b00c874', '472c57da1316268f04c45be1dc2d75fb', 'a641b3eafc270c85e217383cb13b7237', '53174b28031866a3a1e7e2ebc53c6c07', '153022398cd8107f423bbc367aca160d', 'c3acb137ed4b2fac3ffb4a041fa0ee8d', '36505cacf49349c23eeda3a83d06c6ce', 'cd9c5cbfdc0c873e2edde2f143cf9748', 'b7691dc38f38f1e7b05ed5139663cdb0', 'b43ee0d73a0af3462cb91814fb314fa2', 'be3e9519a300d274dac1e035c3a39686', '2cad6bbf0582de51046e0e2bed116f1d'}",2
new balance fresh foam roav,"{'11db5e597d43e9c416b6887625b48082', 'a90ebcbee4dd5d70a2aa35a5a265a55c', 'a7b70e3e243f9bc3883874ef852acab4', '21bfdbe0d82badde99ea270aaf33361f', 'd2f2bd96a2565fab95b761dab7f1d813', '74e212913090479d8743e32f4731b1c7', '675a403f48eeb7537467eff2ce9cfaf2', 'd37109969f0c0b965dbb18c01f915948', '9d9411b0d81159cdbe6197ee74c7b6a4', 'ffb8283ca21592510f2a53ef94241b07', '1e897b57001382fca67e23eb653b50d9', 'b19b662786394d24345fa7fa91be34ff', 'f500fbbb84d1d4eec5da49cfe0587df2', 'f9da52fb2f77344a87974c93fba8cc9b', 'c891512c3bc7bae3ea316d66f8573988', '7cb330f6c55b1b11448b2439181155b0', '22df2ec4996e53da59e2374dac087c61', '27f259cde4316b572578d2337b7b08c5', 'fe405fb1862ca4510cfe0876a5837a12', 'b3c79304a34ec0fe3bc7e7d3706c8d4e', '4fc505d4eb9148a295a3b3c63cf6f239', 'a5d2e616bdee5af3e321d816390f983d', 'db92498522ced5a21ab1578828286c5b', '47553032f867898f51fa8a344766443c', '09a7a91c68c54e0f5475de681b75b2b6', 'f0c2b202eddaba3493e728acd9be64f4', '8627349e258da5b2cd7d45430d5d5e75', 'e84c3f81015e7ff64024daeaf51bf9f1', '41440b9d3810158ff7510f48dd6b6bf5', '62536739ce73e0fb13f5da9e59cf0544', 'f71fecc24e3df190d27848847e27646e', 'f6c02255b8ff0d90097487c00e6bb1e1', '91e8d4890b299344012fb51be056e487', '2858e917b3455478acc7c0778db2dc43', '20d62ed49d1a29f5641eda900b27cb4b', '187e60114c6c07bbcb7507c005b4a31b', '18ba69c788d4a6801c715b6e12cc88aa', 'c821b561cd9be7dcb92115ebf1e014e3', 'ec6609520cbc1c1f86ed16ad0967408d', 'fd957501532c756c8a7eee2d2a1a5a98', 'cc9c2c410a01bb0d9df3209758184797', '667978ead6d954d3e46f17d87491cbb4', '1d3e533648181cac63278db8c0fd7b04', 'b7ac58088d013552b2153efee0fc0eb0', '802ecba67651036b60fcd5ff980e6dc5', '60294543447d02c1995d418eff33b101', '917490ae3dc2eb622dc624e505661370'}",3
new balance 574,"{'e63945a73788843f10422488312967fc', 'c0d210153f0deb5b29e1c81f7b319fd0', 'cf332da1f5eb1d0a820774cd99d29898', '5524b1489fefc68a5e48d742dd133ae7', 'c64065675e71a9e59d9ac3094c177bdc', 'ec396cb5997a7809ac1f3c354228a58c', '30c65bf5f4eae2f4f1f85726e6a06491', '4b56eef8dee6f444467134fe16ff0e33', 'd365f0d06ec9b91a77cf2e5d3cf62c43', 'd35238af425a27b8908a8140d68f7149', 'be55553cfcb9590febe87a3bffed3f49', 'd4030a1814011000e0664d38f791263d', '4dbcc407217452a5fa916e6fb2e30874', 'a03add52afccf090b792394d05be6c83', '49f4d7801005f21231020fdf26ac48c9', '7ef3f567c7ec742118271fa974a5540c', 'e7e76f47ea5ee6f6804c0f96a68aa8ae', 'ad04f50fe725fc73a54ec86020798a75', '9233bb44383b78ae3655027b78e403a1', '52c130d63dabbe57c3956ef954e0c4b8', '5e10eae9d6c567d27ba59e1eed5d4ae3', 'bbdb5a56074f25c7b88b8648e4ac67f2', '7f86a54e19b09a72679d5acd665984bc', 'c37b4d56e454dd9f7051be12c5a4ab75', '72929116f621e083c1fdf1636053bd5d', '3081c6484298b1a844fbe08c2ce5e344', '82a7c4a9fd29604596578144b1b979a9', '6b20fc68fab4752052824e9854d6fd2b', '02ddabb8a6983f12e67e704622ce36a8', '128bd2a5b827343db63e691c2f711d31', 'e05d9866df99b5d8f21ca2f5fec2100e', '60037ae40056ab462769af13b20e1a56', '9f6ced7900b8c75258ad07d2af3e3fe9', '33b694b5b96b30f2e725331ff3821fc9', 'cb6d2830332918fba1d08be4cb4eea56', 'c16495cbc57c1b29a4dd1e4024a68637', 'a0e2317fa125f70ad563cebb8bae4937', '239ba7d363e706b84fb46a5e0c041ecc', 'b7c7e400de2e80c50b6cac0ba489d9ab', '38cfc2580dfab4605b08c43f8bca2130', '3734cd4955e3af8190573e82c4154e3a', '562901658fe2bfac1fa5560d84cd8e24', 'd7b01602b2072b6401ca7e905418655d', 'b2a4185f3f8f8d0fc326ab315ab227a4', '05711146740bec17fe4f220f678b2ea2', '7653a59d5b6f9e0149e7b2e039ecc0c8', 'bb27eccc2180caf349d85a689aefb575', '36c9dff67f2809812abd37797572042e', '8a9b9e0ab3230b14587c3665b5ac6956', 'ebac733313d4aa215258bf0bb2406aaa', 'cd9c5cbfdc0c873e2edde2f143cf9748', '6b3cdb4cdfd1339e3339c505ed378cde', '8ecd376828cffdeb5a875363e8154621', 'b43ee0d73a0af3462cb91814fb314fa2', '6e65d9ce80b720513c2440d5bf28381f', '9320ccdecd6fa5b39d30869b20cd5691', '5499e2f8ca802a9f5da464c8d19847f1'}",4
new balance 327,"{'03dac3cc88a60e844282ed3fdd47f913', '8baea3b370968e770d4f230e0e699771', '6ea721c760f0fd15583476653d33005b', '416e9303b9678a4fbe4ab168fd11a734', '41e817f7e7febd02230145101373540c', 'bbff108a2def47e58641117192341272', 'b3c6389850edea58d3c81e8711d5ea8d', 'd365f0d06ec9b91a77cf2e5d3cf62c43', '2ba7cec7cc7be762930baa1a0233ccfb', '0d8098af7daa6f914b4a1e63e7a79382', '85084a47ba8c48a5650505809cf4bedc', 'b95073da180aa11a94634a49ae321afe', '084bc2c2bafb96f47931c20e1cf4d413', '5e10eae9d6c567d27ba59e1eed5d4ae3', '4f1736ce7b203e3ae234f7b1ab290507', 'a3a7f44b1fb4eb463c49fceac8ded3f9', 'c0f557f2ef703b56746aef5d6efc37df', '3a887b16d48badfccfa59830dabc2965', '86aa783309420d1e59d33e010b200c87', 'e1b63a2483e5aa6c8ee2b5ff947e40fd', 'c2b67ee0ce6db6c7db658cc695b58489', '6c3a7f6fe03d0c91999123232cb382b3', 'bc459fcabbe3c86e2eb05b3039d7802f', 'def274e051b74b5cd2f68a3f244df16e', '42d856bad4167ea15b3237e67fa6a3fb', '89c5291abe45fb88f7bc4ae68e9e8026', '4e9f31bc455f3283162e6592fe77d6ec', 'c979480f2f39dd09833abb0931a6104e'}",5
new balance 927,"{'60958830c6fc304667a5668bcb1e457e', 'f631231b09f1e29917767b6a96c6e25d', '9ba51eca3d228f329b3d0f14334b2086', '0a1e15fbf0bc027504352555430ff5cf', '59f8a27e001fb0f90fdc27a11cebf5d8', 'faddbb1a7bb999bfad5b7244835994ba', '675a403f48eeb7537467eff2ce9cfaf2', 'dc9806c7ba2770b1369582c8f8819c5a', 'd5ea4c6200dcb1fc2dfcf0d29a589db2', 'bb4d9cebaf792da3a37bf1d2d3b710dc', '7b772a5a63ed76e74d26f19071d0d519', '4fe5dafa9e8967c9fb1a6b54779c62b8', '3a350161b4b1fd620ecc794f24bf650c', '8b14579a06cd131b5723c907314a8702', '84c09034d7910d93d5471c523342f00a', 'cf959a0d5fb8857dd0fe88c8fae6b7c5', '90c1d44a3f281b880ed9b66645f62fa4', '2af58f7a97f122731dbb93eb7969b99a', '8519aa3415c9e9c763ab05ae135631b4', '452936e8370fe827a0470efb71d8fd45', 'c952d127e7aa0e063a2c5effd85aa844', '7b5a26564853920da0266d58874493bf', '654826a58f82da9265267b5b25d24144', 'c7d978e0fe9090be15b59473c952e9c7', '57941e7896b4f1aa5895d2ee2925212d', '9077767034effb9f7b12c5ea63cc000c', '4af69b9157e37f03c785863aec3e832b', '4e6e135f465398f7a317be3eba64bbb3', 'b64e9f54d10b0f8d796200bc777ad194', '939923136d015c4514fc7e32fc0b85c6', '662b0bcb8220f62ca6ae019be640a49d', 'd4358f42dac9a3d3965edc2feaeb5d7b', '44763a33cca3c6f164b56ea580febdc1', '50765e642ba85ce876506b4986199686', 'be8544b84ac9f0a8cda4101c29aa9dd9', 'b6cb49f11991d2176e05249c9f3afbdc', 'a411cc95d99bb8ebb2963e112651ceb6', 'd37965da62c8984c02d91d58fba12b5b', 'db0004c939c95f6d10082bc90295a9f2', 'e1868c2c030d2e6d487cd0343d32b586', 'eb7989a9068447694ca833eeea975ea7', '89f104943c72e711cb0a4a02f839130f', 'afb5334745ed94aa33f3c2cfa7deb65e', '8fde8abdcb79aa12b240a59152ad1402', 'c0f8d0369f8a77a6a80fbce3e3509cd6', '3223cad5c7a8c7738c5479a3c8fbc50d', 'aed6ad1816e44399fd745a55d6749d99', 'b30f701874737651e51b8033530c5617', '74d893ab236193bb40bc921aab0365db', 'a7af13b494807586da1a4cce3bf3c784', '84566d4bddd055c1d03b2ab2f58af499', '6b3c2a85ebbad37b1ba4dde744edf960', 'caa0a7613f07433fc1566477c41b3f42'}",6
new balance ventr v1,"{'d5aa8e20208438d9b4e00a294d38bd38', 'f1dda157db83c7d825168302566e3190', 'f631231b09f1e29917767b6a96c6e25d', '20108103b13f956ab7d461122f1b15dd', 'd4999201b363e0d9c857fa2e9d247ad1', '28a2bbc81e9bcffc22b694271af6595d', '4d4a40937094ae0e1e909fda27f596ec', '1e9e2d3f0ab96a05a3da443271590316', 'c64065675e71a9e59d9ac3094c177bdc', '96d2e8cac6d42756ebfcf378f07f0bc8', '6d192ac4bde488135c95569226ebd60b', '128968746d2c22d0b7ec4ee47ab17a6f', 'ee563421c84f9891307eb841cf2da15a', '93efb9d520448c8e7e0e71fa88720614', '9f9ff9fb532b958550a0ac46302d836e', 'd4030a1814011000e0664d38f791263d', 'ce5d95d249cef40155c56fffbfbc94e2', '405cfb8d1d580e026f76fdf8c132adbe', 'fc9ecb6e568607e9350881eb52641ff9', 'c3fd3d3f1dc74bbada2df494840b178c', '124d6d4d0c65e9069e4d136a1e5aedb7', 'c56a0924fb097de89f05dd3bc7d38c11', 'a36842b6ffcdf2f3e37ae763020688c9', 'baeac7f796634d011e51977b71eab8b8', '89d78243224dce0a790cadc55bf020cd', 'f0a9a9521b1ebc02e840a85e07732945', '6078dbf2381be01d685da44c96e9dcfa', '54f9b0cca3add544f5286ce900e7a2f5', '91ec1c2a7411b2bb5d2652cf083d37ad', '3b110219a4457773fd13a9ba4b62baf9', '7a52a2181c1cd98fce2276e7b44a9e2b', 'fb120eae155667ed938a9b9990aa84e0', 'ffb6031a2a979fc6ad3bb1bfbf1adb3d', 'f7ecc411e9706578e6659ec801a558ff', '863867d43afe36e56e5da6d3c94d98d9', '0a899b7ace973dfe75f038e83b89a350', 'da2154e9b7dfc8c1af0892fabbde95c4', 'ff8eca10b05e185a23046f196d93fd0c', '33b694b5b96b30f2e725331ff3821fc9', 'f50ce0665ee1eb01c7cf837f4afd272c', '2858e917b3455478acc7c0778db2dc43', 'a05b5907bedefa37f0287877acf6358b', 'b298d360a8f7a369605b6f34242428a2', '443b76bced244340c4f8c12a17cb6fad', '5ccd054a9d82032f0c2b15f37c077e92', 'c19f04b01242e0498a662d04b698385e', '8c5db32605b02e43ec7ea23b80921234', '52d9109843ef25ad710ec650ba7f160f', 'afd7989c8d4f50e4aa06dc8e1b405c7a', '06e4e885c296cfb50ed77d8db161388e', '16b4432ee7c2f8ac0fa9646886e2553f', '96c2c3df507fd916d183b22d56aba5bc', '5df9b6c6f3cc34b61fc483a10a020a55', 'bc316fd9c39f2a6facf06c4c9bf62a1f', 'db6044c92d750495ca5711c6d62c8d65', '5e23637476fc67435a4d3a40df93021c', '4d5c4fa9e64b98c36b88d059e82ceebb', 'aaf18a47396047addedcb4cea5815fe3', 'aa5b5eb30f9489fed0a8355e49ec1564', '11e36979585282960dc424069b9e6b83', 'c927332e398f6015529686adca4bba5f', '6b5cb7be286995d90a71b9fcf5732b95', 'f10b2d84e1275e69549830d99b5dfa13', '318771a1b868e3264de7d18ec6286e6e'}",7
new balance 574 core,"{'e63945a73788843f10422488312967fc', '729a07a9d2dbee35ef83bd876f3c480e', 'b9c62b5be62e7f04b62db64c11bcc2b8', '8c20a99ef1c11458708d0484b7f8b8cb', '5bcd6c66bcd92f14214412f6336c7123', 'c64065675e71a9e59d9ac3094c177bdc', '30c65bf5f4eae2f4f1f85726e6a06491', '5827411f7f28f2a1725a6300dd1ce1d3', '675a403f48eeb7537467eff2ce9cfaf2', '12c70405dcd3b3f9e68f84580f2d55fc', 'a8efc90de682c98ffffd9b25efab905d', 'd35238af425a27b8908a8140d68f7149', 'c1e864c6076312ed32bc01df284ae957', 'd4030a1814011000e0664d38f791263d', '5df83c4a33735be4b05b540ee750e89d', 'e7e76f47ea5ee6f6804c0f96a68aa8ae', 'be3e9519a300d274dac1e035c3a39686', '6b294951f55d8eafdcef25841421b9e1', 'd996af49d4e99f3f2d2dcb798e0ca7ab', '85dfb8e654b12cc51b0708d8dac0fd32', '7f86a54e19b09a72679d5acd665984bc', 'f364cdcb82051d26d85c91f92998cd26', '1152cd2da9b73ff9094d7a4baae8bd91', '82a82d27d39ce4a7a3aeb510388eb2a9', '7508e1387967d1688c3de7f8a274b286', 'd4358f42dac9a3d3965edc2feaeb5d7b', '128bd2a5b827343db63e691c2f711d31', 'e05d9866df99b5d8f21ca2f5fec2100e', 'ff4b156ba97daf719e4c71b71c8ce6f7', '406207e4f90302ce31e40487bbdc399c', '0f69a61e2e12e9fa0d91aa04d2669bf5', 'da0f960672a829bff62cf97429c0a563', 'cb6d2830332918fba1d08be4cb4eea56', '18a5b3e275e6f3eea29d34db4fed4643', 'c16495cbc57c1b29a4dd1e4024a68637', '0f09e6b92980c7e105fc775dca39fe24', 'd69d61722d3f938e2308ba758037fbd7', '239ba7d363e706b84fb46a5e0c041ecc', '5f96a3f5eb727d663db7edaaa3c8ef81', 'd1883141e6c17012f6d4d483dc990c77', '31676a848c5a29df89dbabf8530792f4', 'b3659b7ad38eab69fe459787aa6ea1c8', '52d9109843ef25ad710ec650ba7f160f', 'd7b01602b2072b6401ca7e905418655d', '0ee5aae9525980db79fb438d840b1a9f', 'e323f32715e4fed900fa4069e56f6eaf', '44668fc771c3c8fc5947e0b5f9d9adb4', '7653a59d5b6f9e0149e7b2e039ecc0c8', '7049425c927581ca4b384bb897730987', '8a9b9e0ab3230b14587c3665b5ac6956', 'ebac733313d4aa215258bf0bb2406aaa', '08ad2cc098cd3e9d6ef2995225f1ce06', '4d8b80ee2c65385fbb82436513824e3c', 'b43ee0d73a0af3462cb91814fb314fa2', '6e65d9ce80b720513c2440d5bf28381f', '5cea929cb92666d7d6475c3040f2bf25', '512105489cced7815626ed8e02474b2f'}",8
new balance 10,"{'206142d8033536e5d960392f78cf7ff3', '28a2bbc81e9bcffc22b694271af6595d', '1f2ad1c95863c674d9c87d3ed6c2e7ba', 'd660c9576f59ef98efcde95375b14969', '21bfdbe0d82badde99ea270aaf33361f', '596458024c0f1b02720599996e5ede97', 'd37109969f0c0b965dbb18c01f915948', 'aa0181ac668836703a53544cb72b8835', 'b43ee0d73a0af3462cb91814fb314fa2', '7db0d2de46d64a268131a0531e6a5860', '55e4179ae9cdd714a7c0be0dbb52cf62', '84c09034d7910d93d5471c523342f00a', 'fa7c0a948ea3ff72f8737c0be6b00983', '88238b69d16abc0669778246dad834f6', '185d27f3c6a1fc21f673eb5df42c4f35', 'b3c79304a34ec0fe3bc7e7d3706c8d4e', '0dcb43cec280d0c560e0621ef956e6da', '40ef2b968c4fdd93a7996624cff9d151', '38fdbebef057360c2a4da471f292ac94', '413fd9f141522fcc0f11aae8a41d331f', '2d929e13af51c0f9772ae7f8765da182', 'bdaab609b517727d124d26bf72cadf10', '817ba9a4350b3e03d476f701af43a902', '41847874d380f4f938d97b35ee4b2096', '7f5ffe4760923d7502df64c60136e87e', '7308ba2348bcaa859b8f3515afb5f628', '50a79232c56b20a318f839a8b72b8149', 'f7ecc411e9706578e6659ec801a558ff', '9f782ccc3508977aaa63c29cb33c37f7', '7d6fd100b4f81f84e2f972d3868bde39', 'f0c2b202eddaba3493e728acd9be64f4', '305ab72f57daa0f21616bec73af632ed', '8209ed71b877783f6c5573fdc527568e', '112e7e55274166cd135ba2fa37b38fa3', '8627349e258da5b2cd7d45430d5d5e75', '62536739ce73e0fb13f5da9e59cf0544', '50765e642ba85ce876506b4986199686', '3dd608a92dbc4f3b080a9ba9274177e1', '2a3ae0884a00930861af773f26c50a3d', '2858e917b3455478acc7c0778db2dc43', 'aef7eb30857fdf3add41aa9d3363ae4b', '17a442eaab54edce8a91a58076f7bba9', '074f68ff8d6b9cbf5833785cc2fb8033', 'bb093e3f252154c188f731eb2ec7fda3', 'f7fdf90e15e9a8b71a53d4234d8a551d', 'bdb85fc696819841dd5e16ea5c4efcf1', '06cdcff5b35cc0947aadbe1eb1cc10d1', '24e58de73182f9cf28739b8078602926', 'db9cbf2b7caa48e64569b92bfe5746da', 'da0f960672a829bff62cf97429c0a563', '5cea929cb92666d7d6475c3040f2bf25'}",9
