,image,class_id
0,mwiNS62kZXUEJARdf3rxCpI0VztLO1B7guKTDGMj.jpg,"[3729, 'new_individual', 1142, 1229, 4042]"
1,Dvtu5QLrVFq0JxjlcgmK94n3SC68iAphHXoBfzYM.jpg,"['new_individual', 627, 823, 1727, 1017]"
2,mldYZ9OiXh5P0ERHNcKLp78SbMtfkBx2rwJeszoa.jpg,"[306, 'new_individual', 1290, 1315, 1209]"
3,tZaCF4XK2hPLTlW8YRdAnMD5mfSxzBujwVpUJ7b0.jpg,"[1287, 'new_individual', 977, 1618, 2622]"
4,73gEZNzIV9SLcf14wkrTYUoHJOMuDetsvihP0mAq.jpg,"[533, 532, 1391, 1392, 558]"
5,j7wJR0Qfl9xEgGW2MomUTtk4IAhYF53zbCesqKLy.jpg,"[1763, 'new_individual', 2510, 295, 2797]"
6,Y4QMGB2zxwjbfaZOgrpCFPsHk6qShlAJ1e03tmXc.jpg,"['new_individual', 2885, 3231, 582, 1394]"
7,ytBpEZRqXFGKfM1n4CAmYJOislg2cVo35IDNvP7r.jpg,"[536, 'new_individual', 3476, 565, 549]"
8,mz7in1cRuNWE4xYpDr6JTXMgft2wOodsVAG0y9Lj.jpg,"[1126, 1486, 'new_individual', 1156, 2736]"
9,xuocMYGjVIPQE0W86lbKrOvF4d7TXmDAqkCN19ep.jpg,"[742, 3943, 763, 3394, 700]"
10,yew8CENTQaORJ1KZMr2xVbH5mpAkjFt4qufoDn03.jpg,"[3988, 5, 2612, 'new_individual', 419]"
11,mE0D4UA6dpVQ7toeNgHPqJGnTLFcBOfyYj2hi3S9.jpg,"['new_individual', 19, 948, 947, 2397]"
12,NfIvWi1aAE34yr6kUxmzQh8DsHOJeVpCYK2gwtoc.jpg,"[380, 'new_individual', 3842, 399, 2319]"
13,OFEihKxSYm4fN2VokWgCMp3JTnlvIAqe0sUa5ZRD.jpg,"['new_individual', 831, 1007, 2805, 2316]"
14,TR5lVd9chEgjFkp3PN0Iew7SAXrZYmGsOBDfMbHK.jpg,"[2788, 'new_individual', 1764, 2872, 244]"
15,TiOqtxFCu7DhndAMQwbJKGcroakHBPNs8lWUpEI5.jpg,"['new_individual', 3512, 246, 3728, 120]"
16,eClpO81ZfSDBTaUmR0hNt7zJvc5Xkw6MP9sIyH4x.jpg,"[1146, 3059, 3447, 3045, 2475]"
17,k3ag2D5WoqSPUj9mJuGLv81bYyCFRzds04iBINx6.jpg,"[1675, 3964, 1686, 1675, 1675]"
18,7wfRpZq5aJV41dnPbE6QyGxAY0LmvWDFt28sIkTC.jpg,"[3948, 742, 3394, 3943, 'new_individual']"
19,9ubjKRtfeW4OkG6DhBzSmnP53yINwq2XQpsZC1rJ.jpg,"[917, 'new_individual', 82, 4281, 612]"
20,B9StPKboEa1u8ZXmVAfD6Tn2yNsQJczjqF5IO03x.jpg,"[726, 'new_individual', 696, 711, 227]"
21,sU1MpVZRtlvoOiKbh5keCA0SFDHXaGgmqnJWB8rQ.jpg,"[1077, 1089, 1095, 1098, 1107]"
22,Ep6S0xM8QIqswd3FJKeTbBvX4ZVuiN5kG9t7HyA2.jpg,"[532, 1391, 1418, 572, 1392]"
23,zO5Fd2bfesmcNp3Sj8CTaQX9JAYEVuPnrRkBvWL1.jpg,"['new_individual', 443, 4209, 1251, 490]"
24,aTXyujGiDzAUYvhrg9oKsV30EZmkxNqIMLnC75O4.jpg,"[3031, 'new_individual', 2505, 2464, 2476]"
25,s4l7dSrNufy1W0t6Y5hPZkpGDO9KXq3gUIJjAwHV.jpg,"[815, 1000, 846, 823, 850]"
26,wHlGJSem6xg2RD18rFNaVPcjkOsLZh9vKQWCzIXU.jpg,"[3963, 'new_individual', 3399, 3291, 1251]"
27,4lsrxbALkOvjVg1mBoyXQSeT5ZCFK9D8w3iWH7uq.jpg,"[662, 'new_individual', 601, 4193, 1560]"
28,rHdzBf7wexO32l58J0XGQWZUKACVIkS1Tyt6uYib.jpg,"[807, 2271, 811, 888, 810]"
29,rnbyc8CWKwIlhM2NfQ79qXAFdmLz1tEsaixjg0ZS.jpg,"[1287, 'new_individual', 2644, 977, 1618]"
30,gbZcU9Q3S1wHjovLyN4zVA0CWEGKMkhqYJButRT8.jpg,"[1908, 3403, 'new_individual', 3728, 1833]"
31,0JWzjKTEQgZhvBFf4lPxYM3kX7pybsSni65tu8dL.jpg,"[493, 'new_individual', 485, 467, 2412]"
32,IxljCSVJH6QRtG2oDrMpkwFau1E7OUmzqyTBcXAP.jpg,"[137, 3062, 'new_individual', 633, 2980]"
33,pqLWnxu53gwIvHAEU6N2Rbrd08CB1DtjzhVXfZGc.jpg,"[815, 1046, 850, 1012, 1000]"
34,UlPKAMEtcpz1b7XvagqI4L0JNxQk3rejBsd8F562.jpg,"[2423, 'new_individual', 19, 2449, 3704]"
35,W1syljB3uz9PpqOTYxM5SmgEo2H7Xk8LceUCnwa0.jpg,"['new_individual', 3732, 1513, 1104, 1082]"
36,5mMnlBsFCzRVZuJQxW0UhDN2IbdgqPf4jtiE7ycv.jpg,"['new_individual', 342, 486, 1044, 1108]"
37,0YvoOA8FuwQIhZWfRJS2V3gbmzdTKcU769tMliBD.jpg,"[1974, 'new_individual', 1608, 3753, 2374]"
38,SnTo1syWd0AHvO3F7XpmGL45uJKYefz9I82lkhZD.jpg,"[596, 535, 935, 'new_individual', 1390]"
39,5oN3DdOGTfHpCl0rchAnjues2atYUBZbIqPMQ41R.jpg,"['new_individual', 2867, 3355, 769, 220]"
40,ki6EptDVcYZ8Co7A9Hq3OaJ2PM4lvhWGbIrUQ0dn.jpg,"['new_individual', 1027, 846, 823, 831]"
41,J1TOs5LPQA3Min29hgkScwErtxelmva76WyHpNGK.jpg,"[867, 1017, 1355, 892, 838]"
42,xcrdAOTNLWv5jn18IzM0YlGt7eVCi36bXJmPqkKo.jpg,"['new_individual', 2746, 1717, 601, 658]"
43,mG07EJF1ZrMeQgUcbOvka59CLnAft3odyis2IKx6.jpg,"[1079, 1786, 1202, 2495, 1426]"
44,w0BFnRYZgElsS8OIP2ceDQdJ7fL4Hpz6yW1TVkUh.jpg,"[533, 1392, 1418, 567, 572]"
45,UadgbOfQhwn54MJCPpLyrFoG9xNtKElku62qSD1I.jpg,"[718, 760, 691, 755, 718]"
46,whfF5LnNeY4xgPEQmoKrk2RG7Dpc0M9a3XZAjuJd.jpg,"[450, 592, 450, 450, 450]"
47,sJa0wRoD9j7cml14kQuvbgL2ZnSxXB3OzUM5y8hH.jpg,"[1070, 823, 993, 1384, 'new_individual']"
48,i4KDs2StvuTnAaUHQN8mzZJf5w6b9kpOcrj07GVE.jpg,"['new_individual', 3268, 1163, 2438, 884]"
49,qljM2yrZBbs3GFpckzUCwPHLf1ENnYIJAtRKoeaW.jpg,"[1759, 1731, 'new_individual', 264, 3015]"
50,qTeWZYu7fg34bti6zHyA5QBvkIcdwlr9jJGPaOVF.jpg,"[1865, 2790, 1865, 1865, 1865]"
51,fygZ3HC6a9BpY7DcMwkvTL1hJI2VsWtQFNnUlEr4.jpg,"[1392, 532, 567, 533, 1391]"
52,pjsVPBhbangRdIi7NHKSzqvQ1UFCok50AZMWJe86.jpg,"[1744, 2737, 'new_individual', 3521, 88]"
53,IjzZwfUpGQJeKB7u0ok1WrE3dN4FLgm9YlMAh8ic.jpg,"[3194, 2065, 349, 'new_individual', 3116]"
54,Py6LwmSD20jRQGzXZNUv5J49ro1xp7ObMT8IlYcF.jpg,"[564, 'new_individual', 575, 582, 4171]"
55,UAzksjLGpZJKX1N3EFSg8bP5Hw9tYlBR7TeMyxIv.jpg,"['new_individual', 739, 2647, 2553, 133]"
56,Qt8kbh6NcjgCLVJxHKpwzua5ivdo37yTOSfZFG1l.jpg,"[754, 'new_individual', 711, 722, 1664]"
57,pxtuO48MmqkwWPoDLGzrSvegEX6QbICaHNVY5K72.jpg,"[1515, 1846, 1430, 'new_individual', 1863]"
58,128LO0Xy46swG3PVk7fnmZAtBpzrIDxUlhJKFqcN.jpg,"[3070, 'new_individual', 3405, 3832, 3231]"
59,nBYgVJpUtrj46eyo9wW0APaIFdEl3szuiqxQ5Kmb.jpg,"['new_individual', 1187, 1109, 1175, 1288]"
60,QAoVTM3dxD7mzr24OFJ8N9ei5SPCy6IbBuLEfsqc.jpg,"[556, 587, 596, 3633, 1560]"
61,J1h9a5Z6fmxeAF0dHSVIozLWRnyjbgDc4YTGku32.jpg,"[1583, 'new_individual', 145, 3713, 665]"
62,weRr9KUVvIB5qpXc8LHNzDP7f0xyOuankZAWjdTE.jpg,"['new_individual', 1760, 298, 2778, 3352]"
63,fbdmSxerH87RtJCnViaETM536ow1sOkhPqGD49uy.jpg,"[1651, 'new_individual', 1079, 1209, 2076]"
64,4iks7f6qyNC0zp8jgbh9dBuQARErtKVMeDUILTXG.jpg,"[2499, 1494, 'new_individual', 3307, 3041]"
65,SifEhdm7CaYgX8JRQpv4ew9PzA31lkOst5KIUbj0.jpg,"[225, 4103, 'new_individual', 3005, 3245]"
66,n32iZoudj7MWRVLYaUrtBFXJQPescb5NI6wSvmA8.jpg,"['new_individual', 1136, 264, 4324, 1890]"
67,7sYOTNKbwjh3IRFi5tAaqyM0cLzlpPSWfeUG2mBD.jpg,"[612, 4257, 'new_individual', 917, 677]"
68,WcixwXUVbdB9JSDapT7ZL3suEm6efyl1NG5vztnC.jpg,"[1082, 1461, 3022, 1450, 'new_individual']"
69,2wqniLsNlU67dxucZJBz8KWfkSPFabovIVXp9Q34.jpg,"[3506, 'new_individual', 652, 3765, 2239]"
70,PxJZAU0CqWibv4Nr9lXKdauhV1ewRELByGmT6cz3.jpg,"[821, 1057, 809, 862, 844]"
71,tNhZ4a5k2Sg9QovsUIbLyBGFdA8WM7i6qCmOzpHj.jpg,"[546, 535, 565, 450, 587]"
72,g2BCTyzkeVY1HKx05cv9ibJZjISL3XaEqDuRt7nw.jpg,"[1879, 1879, 1879, 1879, 1879]"
73,t2RZQDkYo0F5K7crxzOAnNlCSjmhVuTeIidw9MyW.jpg,"['new_individual', 1736, 1655, 4068, 220]"
74,RxZQLDtM6mi7zbXqY3vuHWVlahBAOs2oN0G8Ujyp.jpg,"['new_individual', 2520, 981, 1079, 29]"
75,CRdlkiQzIOyVaAru2cth1DeMpNTX4H3FqW8PEm0B.jpg,"[1847, 'new_individual', 1298, 1486, 1101]"
76,fDoAGJVXIkugSxdZNYe0Mn3marwzspE7C2HFlByi.jpg,"[844, 1016, 823, 'new_individual', 4114]"
77,nCabvSecWP7AN5wR1gH23TLhyijlXKVEoIuBOfqD.jpg,"[930, 'new_individual', 3645, 3792, 3504]"
78,Ca0zVqNlwSh67oBDcJbKAPxyEmZjW5M4tYgR3ksT.jpg,"['new_individual', 1082, 168, 2620, 243]"
79,dDHZYjOXRLPtAwqIFgThE7GJ5e2Ubsiv91BczM8r.jpg,"[601, 611, 2263, 596, 2232]"
80,Qr0JqoPCtiGjscYBhFRyHwlXfv4TNO58WuVSbmKZ.jpg,"[867, 1017, 1355, 892, 838]"
81,uEVxUf6lLCzQcIdR2F0PKXM4SZhbBATjG3N1i9st.jpg,"['new_individual', 4076, 2953, 4072, 3121]"
82,mHVclj3Kgu9pPBIRCoJsv0yXQ7TF84LDnxWazrd5.jpg,"['new_individual', 3895, 26, 3230, 3515]"
83,5vdJtenbaRj2iF8ySBOHkN9z4hDGIgZplYuwVsAW.jpg,"['new_individual', 2221, 778, 2457, 2278]"
84,QXH2Raiu9jF0ZdwGnM4Y7yBEWv6c1CxsIlL3Kfzp.jpg,"[624, 651, 2911, 4209, 624]"
85,PqQXMm47sDjfCylVhwF91I2NEOkWe0dGu3xHZYSB.jpg,"[88, 25, 'new_individual', 77, 1290]"
86,7yIrKXdOWzpaQVTxJthlZuA6B3En0DkY1w8SRgs4.jpg,"[889, 'new_individual', 830, 2349, 2916]"
87,MzxjDbsrdQ9BLulyG6gWXn4ARe3m8ESiT7fCqa0V.jpg,"[1898, 3581, 'new_individual', 2947, 1281]"
88,ZAdDbVz1fna6Rlctpv374BHJOUjeS2xMqImFKNLC.jpg,"[718, 760, 691, 473, 755]"
89,aFfhvl5bNEBi7sSTGRjc2OIV8xWnD1u0o3KAYmtM.jpg,"[533, 532, 567, 1391, 1418]"
90,XA1iaSk3JyvOWn0872HjNVKCYg4IxwGFR56rDMLT.jpg,"['new_individual', 1521, 2628, 3035, 2900]"
91,5781AVJGw4hX3tW9Lp0YnqmgrIElvbBQdikZjOoC.jpg,"['new_individual', 3406, 3877, 48, 2397]"
92,pTAZvM37zb64OY58yxnB9scJIgmLGerW0twdufXK.jpg,"['new_individual', 2500, 305, 2436, 1426]"
93,iahBCzPVpt3xObLHWKo2wS617lUFsAf0DTEmMgjR.jpg,"[373, 2397, 947, 390, 329]"
94,IctUuX12H3EZTkboFlCwrpnxfe75mhA9y6DLR4N0.jpg,"['new_individual', 156, 2136, 1398, 606]"
95,yRpSju6t9XOQ2mMvrHPTCcowL5EnI7zbdAeG4BV3.jpg,"[1664, 'new_individual', 742, 698, 2679]"
96,9mR83k2xuUQXjsHVzyWINJaDiM1hL460ErTqBAY5.jpg,"[703, 689, 'new_individual', 795, 803]"
97,Dm9lCdNAKYhsO4nxtigv82SyG3671rXcLejWVPqo.jpg,"[1234, 'new_individual', 2109, 2089, 1229]"
98,LDuB8fKxp0b21vynJkjEtGHSXzO3lUim9VqZdAPo.jpg,"[954, 'new_individual', 399, 16, 616]"
99,W9UptmKTMq4xEPHOFuJgAnfXwkerSzs5iC3Bd6yc.jpg,"[145, 1573, 1583, 1988, 145]"
100,ryuEs08po15mj7nODARgHK9f4Vt32WTPXhUGSNib.jpg,"['new_individual', 450, 541, 557, 538]"
101,aTN1DA5fmCE3pMzj0iLZR8vSQhJsnkXV6utrcBwe.jpg,"[2806, 'new_individual', 1320, 2832, 2827]"
102,7JuKX9imQcB4OwsA32l6LNSohFDIWnrbRMEqgGyV.jpg,"[2058, 1243, 'new_individual', 1660, 1667]"
103,yH4Dcfb90ThSlXZKqNI8uVCU5J6P2psEajMAk1Le.jpg,"['new_individual', 685, 962, 833, 3438]"
104,Nw2AQEKTJVpmhzSrZ61YqocUyD3a5fOBiLvnMXG7.jpg,"[1303, 2361, 1290, 2621, 'new_individual']"
105,7tkIThN1fSqDVHnR60PApvXjl83czsWFymeBJGxQ.jpg,"[306, 'new_individual', 1290, 1315, 1209]"
106,Jsg18WUKnbV2qf6DTol0Sac95pPOLxiFItYZjhHm.jpg,"[587, 556, 1560, 587, 587]"
107,ZPhaXSsO8yL9TCw3JcjpBlnK2R54ov7NHFdeWuQf.jpg,"[532, 533, 555, 1392, 1391]"
108,4LI6s5HMgqbEVSAicGahKZ3RWDxuXFwJf0nvlt8r.jpg,"[3925, 'new_individual', 3835, 3070, 3916]"
