,brand,model,id
0,new balance,57/40,0
1,new balance,247,1
2,new balance,574,2
3,new balance,new balance fresh foam roav,3
4,new balance,new balance 574,4
5,new balance,new balance 327,5
6,new balance,new balance 927,6
7,new balance,ventr v1,7
8,new balance,new balance 574 core,8
9,new balance,new balance 10,9
10,new balance,new balance 5740,10
11,new balance,574+,11
12,new balance,1080,12
13,new balance,dynasoft nitrel v5,13
14,new balance,new balance shando,14
15,new balance,fresh foam roav hi,15
16,new balance,new balance 860,16
17,new balance,fresh foam x more trail v2 d wide,17
18,new balance,nergize sports v1,18
19,new balance,new balance 990,19
20,new balance,new balance fresh foam cruz,20
21,new balance,new balance 990v4,21
22,new balance,1296,22
23,new balance,new balance 940,23
24,new balance,new balance 237,24
25,new balance,new balance 373,25
26,new balance,new balance 515,26
27,new balance,new balance 624v5,27
28,new balance,new balance 680,28
29,new balance,new balance fresh foam more v4,29
30,new balance,new balance 997h,30
31,new balance,new balance 520,31
32,new balance,327,32
33,new balance,1080 v11,33
34,new balance,new balance fuelcell supercomp,34
35,new balance,new balance xc seven,35
36,new balance,wmorgy2,36
37,new balance,new balance 996,37
38,new balance,new balance hierro,38
39,new balance,fresh foam x 880 v12,39
40,new balance,550,40
41,new balance,new balance 997,41
42,new balance,new balance fresh foam vongo,42
43,new balance,new balance fresh foam 880v11,43
44,new balance,409,44
45,new balance,new balance 520 v7,45
46,new balance,new balance,46
47,new balance,new balance two wxy v2,47
48,new balance,new balance 880,48
49,new balance,new balance wmns fresh foam x hierro v7,49
50,new balance,new balance 300,50
51,new balance,new balance 750,51
52,new balance,new balance 400,52
53,new balance,new balance 450,53
54,new balance,new balance run disney,54
55,new balance,new balance 550,55
56,new balance,fresh foam evare wide,56
57,new balance,new balance 555,57
58,new balance,omn1s,58
59,new balance,new balance 711,59
60,new balance,ws327,60
61,new balance,nitrel v5,61
62,new balance,new balance 1540v2,62
63,new balance,new balance 1400,63
64,new balance,new balance 411,64
65,new balance,new balance women's 452,65
66,new balance,nbw880wb3,66
67,new balance,new balance arishi,67
68,new balance,new balance women's ws327,68
69,new balance,new balance 460 v2,69
70,new balance,new balance 890,70
71,new balance,new balance fresh foam arishi,71
72,new balance,new balance 519,72
73,new balance,new balance fuelcell prism v2,73
74,new balance,new balance fresh foam,74
75,new balance,new balance sea salt,75
76,new balance,new balance speed ride,76
77,new balance,393,77
78,new balance,496v3,78
79,new balance,840,79
80,new balance,wrt96,80
81,new balance,505,81
82,nike,nike air vapormax flyknit,82
83,new balance,two wxy,83
84,new balance,new balance omn1s,84
85,new balance,new balance 460 techride,85
86,urban jacks,vegas / california,86
87,new balance,fresh foam 860 v11,87
88,new balance,373,88
89,new balance,new balance beacon,89
90,new balance,new balance md800,90
91,new balance,new balance vazee,91
92,new balance,new balance 811,92
93,new balance,wl574hc2,93
94,new balance,new balance 991,94
95,new balance,new balance fresh foam zante,95
96,new balance,new balance 877v1,96
97,new balance,new balance zante v4,97
98,new balance,996,98
99,new balance,fresh foam beacon v3,99
100,new balance,new balance 690,100
101,new balance,new balance 1080,101
102,new balance,new balance 928v3,102
103,new balance,928v3,103
104,new balance,wid589n1,104
105,new balance,wnrgqm2,105
106,new balance,new balance 1010,106
107,new balance,new balance fresh foam wcrzrrg,107
108,new balance,new balance in isa,108
109,new balance,wid589t1,109
110,new balance,new balance 220,110
111,new balance,ww669lc2,111
112,new balance,new balance 928,112
113,new balance,new balance fuelcore nergize,113
114,new balance,fuelcore nergize sport v1,114
115,new balance,not applicable,115
116,new balance,new balance 412,116
117,puma,puma r698,117
118,puma,puma rider fv,118
119,puma,puma sky,119
120,adidas,adidas ultraboost 5.0,120
121,puma,puma anzarun,121
122,puma,puma ignite evoknit,122
123,puma,puma mirage,123
124,puma,puma mb.01,124
125,puma,1m1426836,125
126,puma,inhale,126
127,puma,puma rider fv bulbasaur,127
128,puma,deviate nitro 2 wtr,128
129,puma,rbd game,129
130,puma,374849 10,130
131,puma,puma lqdcell,131
132,puma,puma suede,132
133,puma,puma army trainer,133
134,puma,puma desierto v2 winter rubber,134
135,puma,c-rey atypical,135
136,puma,x-ray,136
137,puma,puma x han kjøbenhavn cell venom,137
138,puma,puma mb1 galaxy,138
139,puma,191095,139
140,puma,teveris nitro,140
141,puma,puma backcourt,141
142,puma,puma r78 sl,142
143,puma,puma basket classic xxi,143
144,adidas,puma rs-x,144
145,puma,puma rs-x,145
146,puma,puma basket,146
147,puma,puma mb.02,147
148,puma,puma slipstream leather,148
149,puma,puma classic,149
150,puma,puma mercedes amg rs fast ms,150
151,puma,puma rebound joy,151
152,puma,puma clyde,152
153,puma,puma 386426 01,153
154,puma,puma future,154
155,puma,puma rs-dreamer summer hustle jr,155
156,fashion,street,156
157,puma,puma suede classic steeple,157
158,puma,soft foam,158
159,puma,puma c-rey,159
160,puma,speedcat shield sd,160
161,puma,puma lamelo ball mb.01,161
162,puma,puma mb,162
163,puma,puma suede trail laces,163
164,puma,puma rs-x3 render,164
165,puma,puma one,165
166,puma,puma basket classic,166
167,puma,puma suede classic,167
168,puma,puma velocity nitro 2,168
169,mercedes benz by puma®,trainers,169
170,puma,rs 3.0 essentials,170
171,puma,puma speedcat flagship customize,171
172,puma,rs9.8,172
173,puma,puma ralph sampson 70,173
174,puma,puma graviton,174
175,puma,suede gum,175
176,puma,puma blaze of glory,176
177,lqdcell hydra,puma lqdcell,177
178,puma,suede displaced,178
179,puma,puma cell vorto,179
180,puma,puma 917,180
