,image,class_id
0,mwiNS62kZXUEJARdf3rxCpI0VztLO1B7guKTDGMj.jpg,"['new_individual', 3729, 1142, 1112, 1097]"
1,Dvtu5QLrVFq0JxjlcgmK94n3SC68iAphHXoBfzYM.jpg,"['new_individual', 627, 605, 1017, 509]"
2,mldYZ9OiXh5P0ERHNcKLp78SbMtfkBx2rwJeszoa.jpg,"[306, 'new_individual', 2797, 1315, 3289]"
3,tZaCF4XK2hPLTlW8YRdAnMD5mfSxzBujwVpUJ7b0.jpg,"[1287, 977, 'new_individual', 1239, 2644]"
4,73gEZNzIV9SLcf14wkrTYUoHJOMuDetsvihP0mAq.jpg,"[533, 558, 532, 1392, 1391]"
5,j7wJR0Qfl9xEgGW2MomUTtk4IAhYF53zbCesqKLy.jpg,"[1763, 'new_individual', 2510, 295, 1855]"
6,Y4QMGB2zxwjbfaZOgrpCFPsHk6qShlAJ1e03tmXc.jpg,"['new_individual', 3231, 2885, 2875, 1394]"
7,ytBpEZRqXFGKfM1n4CAmYJOislg2cVo35IDNvP7r.jpg,"[536, 450, 565, 'new_individual', 4163]"
8,mz7in1cRuNWE4xYpDr6JTXMgft2wOodsVAG0y9Lj.jpg,"[1126, 'new_individual', 1486, 1141, 1476]"
9,xuocMYGjVIPQE0W86lbKrOvF4d7TXmDAqkCN19ep.jpg,"[742, 3943, 700, 763, 2204]"
10,yew8CENTQaORJ1KZMr2xVbH5mpAkjFt4qufoDn03.jpg,"[3988, 5, 2612, 419, 390]"
11,mE0D4UA6dpVQ7toeNgHPqJGnTLFcBOfyYj2hi3S9.jpg,"[948, 'new_individual', 947, 19, 2397]"
12,NfIvWi1aAE34yr6kUxmzQh8DsHOJeVpCYK2gwtoc.jpg,"[380, 'new_individual', 3545, 3842, 1067]"
13,OFEihKxSYm4fN2VokWgCMp3JTnlvIAqe0sUa5ZRD.jpg,"['new_individual', 2805, 844, 831, 815]"
14,TR5lVd9chEgjFkp3PN0Iew7SAXrZYmGsOBDfMbHK.jpg,"[2788, 'new_individual', 1764, 391, 1409]"
15,TiOqtxFCu7DhndAMQwbJKGcroakHBPNs8lWUpEI5.jpg,"['new_individual', 348, 3728, 3512, 612]"
16,eClpO81ZfSDBTaUmR0hNt7zJvc5Xkw6MP9sIyH4x.jpg,"[1146, 3059, 3447, 2475, 2494]"
17,k3ag2D5WoqSPUj9mJuGLv81bYyCFRzds04iBINx6.jpg,"[1675, 3964, 1686, 1675, 1675]"
18,7wfRpZq5aJV41dnPbE6QyGxAY0LmvWDFt28sIkTC.jpg,"[3948, 'new_individual', 698, 2719, 3394]"
19,9ubjKRtfeW4OkG6DhBzSmnP53yINwq2XQpsZC1rJ.jpg,"[917, 'new_individual', 612, 82, 2225]"
20,B9StPKboEa1u8ZXmVAfD6Tn2yNsQJczjqF5IO03x.jpg,"[726, 'new_individual', 2216, 227, 3739]"
21,sU1MpVZRtlvoOiKbh5keCA0SFDHXaGgmqnJWB8rQ.jpg,"[1077, 1089, 1095, 1098, 1107]"
22,Ep6S0xM8QIqswd3FJKeTbBvX4ZVuiN5kG9t7HyA2.jpg,"[532, 558, 1391, 567, 533]"
23,zO5Fd2bfesmcNp3Sj8CTaQX9JAYEVuPnrRkBvWL1.jpg,"['new_individual', 1686, 3943, 2185, 2136]"
24,aTXyujGiDzAUYvhrg9oKsV30EZmkxNqIMLnC75O4.jpg,"['new_individual', 3031, 2505, 2464, 1133]"
25,s4l7dSrNufy1W0t6Y5hPZkpGDO9KXq3gUIJjAwHV.jpg,"[815, 3131, 815, 815, 815]"
26,wHlGJSem6xg2RD18rFNaVPcjkOsLZh9vKQWCzIXU.jpg,"[3963, 'new_individual', 3741, 2193, 544]"
27,4lsrxbALkOvjVg1mBoyXQSeT5ZCFK9D8w3iWH7uq.jpg,"[662, 'new_individual', 2411, 546, 3999]"
28,rHdzBf7wexO32l58J0XGQWZUKACVIkS1Tyt6uYib.jpg,"[807, 'new_individual', 2271, 810, 888]"
29,rnbyc8CWKwIlhM2NfQ79qXAFdmLz1tEsaixjg0ZS.jpg,"[1287, 977, 1239, 'new_individual', 2644]"
30,gbZcU9Q3S1wHjovLyN4zVA0CWEGKMkhqYJButRT8.jpg,"[3403, 1908, 'new_individual', 1833, 1873]"
31,0JWzjKTEQgZhvBFf4lPxYM3kX7pybsSni65tu8dL.jpg,"['new_individual', 2445, 1854, 1866, 485]"
32,IxljCSVJH6QRtG2oDrMpkwFau1E7OUmzqyTBcXAP.jpg,"['new_individual', 137, 3062, 631, 531]"
33,pqLWnxu53gwIvHAEU6N2Rbrd08CB1DtjzhVXfZGc.jpg,"['new_individual', 3641, 2198, 2819, 831]"
34,UlPKAMEtcpz1b7XvagqI4L0JNxQk3rejBsd8F562.jpg,"[2423, 'new_individual', 4109, 1671, 19]"
35,W1syljB3uz9PpqOTYxM5SmgEo2H7Xk8LceUCnwa0.jpg,"['new_individual', 3732, 1222, 2406, 2858]"
36,5mMnlBsFCzRVZuJQxW0UhDN2IbdgqPf4jtiE7ycv.jpg,"['new_individual', 486, 342, 1044, 1642]"
37,0YvoOA8FuwQIhZWfRJS2V3gbmzdTKcU769tMliBD.jpg,"[1974, 'new_individual', 2575, 1608, 2002]"
38,SnTo1syWd0AHvO3F7XpmGL45uJKYefz9I82lkhZD.jpg,"[596, 'new_individual', 1244, 450, 535]"
39,5oN3DdOGTfHpCl0rchAnjues2atYUBZbIqPMQ41R.jpg,"['new_individual', 3355, 2867, 1704, 769]"
40,ki6EptDVcYZ8Co7A9Hq3OaJ2PM4lvhWGbIrUQ0dn.jpg,"['new_individual', 1027, 838, 846, 769]"
41,J1TOs5LPQA3Min29hgkScwErtxelmva76WyHpNGK.jpg,"[867, 1017, 1355, 'new_individual', 2296]"
42,xcrdAOTNLWv5jn18IzM0YlGt7eVCi36bXJmPqkKo.jpg,"['new_individual', 591, 575, 2746, 3599]"
43,mG07EJF1ZrMeQgUcbOvka59CLnAft3odyis2IKx6.jpg,"[1079, 1426, 2495, 1202, 1423]"
44,w0BFnRYZgElsS8OIP2ceDQdJ7fL4Hpz6yW1TVkUh.jpg,"[532, 1391, 1418, 533, 567]"
45,UadgbOfQhwn54MJCPpLyrFoG9xNtKElku62qSD1I.jpg,"[718, 760, 755, 691, 718]"
46,whfF5LnNeY4xgPEQmoKrk2RG7Dpc0M9a3XZAjuJd.jpg,"[450, 450, 450, 450, 450]"
47,sJa0wRoD9j7cml14kQuvbgL2ZnSxXB3OzUM5y8hH.jpg,"['new_individual', 1367, 1028, 850, 711]"
48,i4KDs2StvuTnAaUHQN8mzZJf5w6b9kpOcrj07GVE.jpg,"['new_individual', 2438, 3268, 977, 1251]"
49,qljM2yrZBbs3GFpckzUCwPHLf1ENnYIJAtRKoeaW.jpg,"[1759, 'new_individual', 317, 264, 2788]"
50,qTeWZYu7fg34bti6zHyA5QBvkIcdwlr9jJGPaOVF.jpg,"[1865, 2790, 1865, 1865, 1865]"
51,fygZ3HC6a9BpY7DcMwkvTL1hJI2VsWtQFNnUlEr4.jpg,"[1392, 1391, 533, 558, 532]"
52,pjsVPBhbangRdIi7NHKSzqvQ1UFCok50AZMWJe86.jpg,"[1744, 'new_individual', 2737, 61, 71]"
53,IjzZwfUpGQJeKB7u0ok1WrE3dN4FLgm9YlMAh8ic.jpg,"[3194, 349, 'new_individual', 183, 1321]"
54,Py6LwmSD20jRQGzXZNUv5J49ro1xp7ObMT8IlYcF.jpg,"[564, 'new_individual', 575, 2892, 4171]"
55,UAzksjLGpZJKX1N3EFSg8bP5Hw9tYlBR7TeMyxIv.jpg,"['new_individual', 133, 739, 1700, 801]"
56,Qt8kbh6NcjgCLVJxHKpwzua5ivdo37yTOSfZFG1l.jpg,"[754, 'new_individual', 1315, 3128, 711]"
57,pxtuO48MmqkwWPoDLGzrSvegEX6QbICaHNVY5K72.jpg,"[1515, 1863, 'new_individual', 1430, 1846]"
58,128LO0Xy46swG3PVk7fnmZAtBpzrIDxUlhJKFqcN.jpg,"[3070, 'new_individual', 3405, 2505, 3231]"
59,nBYgVJpUtrj46eyo9wW0APaIFdEl3szuiqxQ5Kmb.jpg,"['new_individual', 1187, 1288, 1109, 557]"
60,QAoVTM3dxD7mzr24OFJ8N9ei5SPCy6IbBuLEfsqc.jpg,"[587, 2891, 556, 1560, 596]"
61,J1h9a5Z6fmxeAF0dHSVIozLWRnyjbgDc4YTGku32.jpg,"['new_individual', 1583, 3577, 3713, 74]"
62,weRr9KUVvIB5qpXc8LHNzDP7f0xyOuankZAWjdTE.jpg,"['new_individual', 1760, 2778, 3352, 298]"
63,fbdmSxerH87RtJCnViaETM536ow1sOkhPqGD49uy.jpg,"[1651, 'new_individual', 1592, 2076, 1381]"
64,4iks7f6qyNC0zp8jgbh9dBuQARErtKVMeDUILTXG.jpg,"[2499, 'new_individual', 1494, 1521, 3041]"
65,SifEhdm7CaYgX8JRQpv4ew9PzA31lkOst5KIUbj0.jpg,"[225, 'new_individual', 4103, 3005, 2976]"
66,n32iZoudj7MWRVLYaUrtBFXJQPescb5NI6wSvmA8.jpg,"['new_individual', 1890, 264, 225, 205]"
67,7sYOTNKbwjh3IRFi5tAaqyM0cLzlpPSWfeUG2mBD.jpg,"[612, 'new_individual', 917, 4257, 3656]"
68,WcixwXUVbdB9JSDapT7ZL3suEm6efyl1NG5vztnC.jpg,"[1082, 3022, 'new_individual', 1450, 1461]"
69,2wqniLsNlU67dxucZJBz8KWfkSPFabovIVXp9Q34.jpg,"[3506, 'new_individual', 605, 2239, 602]"
70,PxJZAU0CqWibv4Nr9lXKdauhV1ewRELByGmT6cz3.jpg,"[821, 809, 1057, 805, 1040]"
71,tNhZ4a5k2Sg9QovsUIbLyBGFdA8WM7i6qCmOzpHj.jpg,"[535, 565, 538, 'new_individual', 450]"
72,g2BCTyzkeVY1HKx05cv9ibJZjISL3XaEqDuRt7nw.jpg,"[1879, 1879, 1879, 1879, 1879]"
73,t2RZQDkYo0F5K7crxzOAnNlCSjmhVuTeIidw9MyW.jpg,"['new_individual', 1736, 4068, 1612, 235]"
74,RxZQLDtM6mi7zbXqY3vuHWVlahBAOs2oN0G8Ujyp.jpg,"['new_individual', 2520, 3564, 981, 3430]"
